indice,Fluxo Escolar - Label,Campus (Nome),Matrícula retida?,Ingressantes em (Período Letivo),Modalidade do Curso,Nível de Ensino,Tipo de Modalidade (grupo),Cidade Aluno,Cód. da Matriz,Cód. do Curso,Data Final Período,Data Início Período,Data Última Alteração Matrícula,Dt Ref Início Matrícula,Dt Ref Início Período Letivo,Estado Aluno,Estrutura Etária,Etnia,Faixa Etária,Forma de Ingresso,Forma de Oferta (grupo),Ingressantes em  (Ano Letivo),Num Seq deste Período Letivo,Periodo Letivo (Num),Previsão de Término (Letivo),Reserva vaga,Sexo,Tipo de Modalidade,Tipo_Escola_Origem,É matrícula retida neste período letivo?,Última Alteração de Situação,CH,CH. Disc. Obrigatórias,CH. Disc. Optativas,Duracao curso,Idade (Hoje),Periodos Cursados
834,Evadidos,Acaraú,Dentro do prazo,20152,Licenciatura,Graduação,Regular,Bela Cruz,4017,11400,2018-11-26,2018-06-04,2018-06-25 19:26:00,2015-01-07,2018-01-01,CE,Adulto (20 a 59 anos),Não dispõe da informação,25 a 29 anos,Sisu,Licenciatura,2015,7,20181,2019/1,Ampla Concorrência,F,Regular,M,Não Retida,2018-06-25,2960,2960,0,8,27,6
838,Evadidos,Acaraú,Dentro do prazo,20182,Subsequente,Técnico,Educação Profissional,Acaraú,4928,11202,2019-05-22,2018-11-26,2019-06-14 13:04:00,2018-01-07,2018-01-07,CE,Adulto (20 a 59 anos),Branca,20 a 24 anos,Seleção Técnico,Subsequente,2018,1,20182,2020/1,"L1 Esc Publica, Renda<1.5sm",M,Educação Profissional,E,Não Retida,2019-06-14,1480,1480,0,4,20,2
847,Evadidos,Acaraú,Dentro do prazo,20181,Subsequente,Técnico,Educação Profissional,Itarema,9894,11205,2018-11-26,2018-06-04,2018-12-27 13:40:00,2018-01-01,2018-01-01,CE,Adulto (20 a 59 anos),Branca,20 a 24 anos,Seleção Técnico,Subsequente,2018,1,20181,2019/2,Não possui,F,Educação Profissional,E,Não Retida,2018-12-27,1320,1320,0,4,20,2
851,Evadidos,Acaraú,Dentro do prazo,20192,Subsequente,Técnico,Educação Profissional,Bela Cruz,7083,11204,2020-04-27,2019-10-31,2019-11-11 16:29:00,2019-01-07,2019-01-07,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Seleção Técnico,Subsequente,2019,1,20192,2020/1,"L6 Esc Publica, Indep. Renda, Raca",M,Educação Profissional,E,Não Retida,2019-11-11,800,800,0,2,21,1
853,Evadidos,Acaraú,Dentro do prazo,20181,Subsequente,Técnico,Educação Profissional,Acaraú,5158,11200,2018-11-26,2018-06-04,2018-12-27 13:40:00,2018-01-01,2018-01-01,CE,Adulto (20 a 59 anos),Preta,20 a 24 anos,Seleção Técnico,Subsequente,2018,1,20181,2019/2,Ampla Concorrência,F,Educação Profissional,E,Não Retida,2018-12-27,1240,1240,0,4,21,2
860,Evadidos,Acaraú,Dentro do prazo,20152,Licenciatura,Graduação,Regular,Acaraú,4017,11400,2015-05-12,2016-01-25,2016-06-06 18:24:00,2015-01-07,2015-01-07,CE,Adulto (20 a 59 anos),Não dispõe da informação,20 a 24 anos,Sisu,Licenciatura,2015,1,20152,2019/1,"L6 Esc Publica, Indep. Renda, Raca",M,Regular,E,Não Retida,2016-06-06,2960,2960,0,8,24,1
861,Evadidos,Acaraú,Dentro do prazo,20191,Subsequente,Técnico,Educação Profissional,Acaraú,7083,11204,2019-10-31,2019-05-22,2019-12-04 12:24:00,2019-01-01,2019-01-01,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Seleção Técnico,Subsequente,2019,1,20191,2019/2,Ampla Concorrência,F,Educação Profissional,E,Não Retida,2019-12-04,800,800,0,2,21,2
868,Evadidos,Acaraú,Fora do prazo,20152,Fic,Básico,Regular,Acaraú,7274,111021,2016-11-23,2016-07-11,2016-07-11 19:38:00,2015-01-07,2016-01-01,CE,Adulto (20 a 59 anos),Parda,30 a 34 anos,Seleção Extensão,Fic,2015,3,20161,2016/1,Ampla Concorrência,M,Regular,E,Retida,2016-07-11,160,160,0,2,33,2
874,Evadidos,Acaraú,Dentro do prazo,20182,Subsequente,Técnico,Educação Profissional,Itarema,6427,11201,2020-04-27,2019-10-31,2019-12-04 12:24:00,2018-01-07,2019-01-07,CE,Adulto (20 a 59 anos),Indígena,20 a 24 anos,Seleção Técnico,Subsequente,2018,3,20192,2020/1,"L6 Esc Publica, Indep. Renda, Raca",M,Educação Profissional,E,Não Retida,2019-12-04,1080,1080,0,4,21,3
876,Evadidos,Acaraú,Dentro do prazo,20161,Subsequente,Técnico,Educação Profissional,Acaraú,6427,11201,2017-05-15,2016-11-16,2017-05-12 15:32:00,2016-01-01,2016-01-07,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Seleção Técnico,Subsequente,2016,1,20162,2017/2,Ampla Concorrência,M,Educação Profissional,E,Não Retida,2017-05-12,1080,1080,0,4,22,2
