indice,Fluxo Escolar - Label,Campus (Nome),Matrícula retida?,Ingressantes em (Período Letivo),Modalidade do Curso,Nível de Ensino,Tipo de Modalidade (grupo),Cidade Aluno,Cód. da Matriz,Cód. do Curso,Data Final Período,Data Início Período,Data Última Alteração Matrícula,Dt Ref Início Matrícula,Dt Ref Início Período Letivo,Estado Aluno,Estrutura Etária,Etnia,Faixa Etária,Forma de Ingresso,Forma de Oferta (grupo),Ingressantes em  (Ano Letivo),Num Seq deste Período Letivo,Periodo Letivo (Num),Previsão de Término (Letivo),Reserva vaga,Sexo,Tipo de Modalidade,Tipo_Escola_Origem,É matrícula retida neste período letivo?,Última Alteração de Situação,CH,CH. Disc. Obrigatórias,CH. Disc. Optativas,Duracao curso,Idade (Hoje),Periodos Cursados
1681,Em Curso,Acaraú,Dentro do prazo,20172,Licenciatura,Graduação,Regular,Itarema,7334,11401,2018-06-04,2017-11-16,2018-11-19 00:00:00,2017-01-07,2017-01-07,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Sisu,Licenciatura,2017,1,20172,2021/1,Ampla Concorrência,F,Regular,E,Não Retida,2018-11-19,3200,3200,0,8,22,5
1682,Em Curso,Acaraú,Dentro do prazo,20181,Subsequente,Técnico,Educação Profissional,Acaraú,4928,11202,2018-11-26,2018-06-04,2018-11-19 00:00:00,2018-01-01,2018-01-01,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Seleção Técnico,Subsequente,2018,1,20181,2019/2,Ampla Concorrência,M,Educação Profissional,E,Não Retida,2018-11-19,1480,1480,0,4,20,4
1687,Em Curso,Acaraú,Dentro do prazo,20192,Subsequente,Técnico,Educação Profissional,Acaraú,5929,11203,2020-04-27,2019-10-31,2019-09-20 00:00:00,2019-01-07,2019-01-07,CE,Adulto (20 a 59 anos),Preta,25 a 29 anos,Seleção Técnico,Subsequente,2019,1,20192,2020/1,Ampla Concorrência,M,Educação Profissional,E,Não Retida,2019-09-20,800,800,0,2,26,1
1701,Em Curso,Acaraú,Dentro do prazo,20191,Licenciatura,Graduação,Regular,Cruz,7334,11401,2019-10-31,2019-05-22,2019-03-11 00:00:00,2019-01-01,2019-01-01,CE,Jovem (<= 19 anos),Não quis declarar cor/raça,15 a 19 anos,Sisu,Licenciatura,2019,1,20191,2022/2,Ampla Concorrência,F,Regular,E,Não Retida,2019-03-11,2800,2800,0,8,19,2
1702,Em Curso,Acaraú,Dentro do prazo,20171,Licenciatura,Graduação,Regular,Marco,4017,11400,2017-11-16,2017-05-15,2018-11-19 00:00:00,2017-01-01,2017-01-01,CE,Adulto (20 a 59 anos),Branca,20 a 24 anos,Sisu,Licenciatura,2017,1,20171,2020/2,Ampla Concorrência,M,Regular,E,Não Retida,2018-11-19,2960,2960,0,8,21,6
1715,Em Curso,Acaraú,Dentro do prazo,20192,Fic,Básico,Regular,Itarema,7275,111022,2020-04-08,2019-11-04,2019-11-11 00:00:00,2019-01-07,2019-01-07,CE,Jovem (<= 19 anos),Parda,15 a 19 anos,Seleção Extensão,Fic,2019,1,20192,2020/1,Não possui,M,Regular,E,Não Retida,2019-11-11,160,160,0,2,19,1
1729,Em Curso,Acaraú,Dentro do prazo,20191,Subsequente,Técnico,Educação Profissional,Acaraú,4928,11202,2020-04-27,2019-10-31,2019-05-02 00:00:00,2019-01-01,2019-01-07,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Seleção Técnico,Subsequente,2019,1,20192,2020/2,"L2 Esc Publica, Renda<1.5sm, Raca",M,Educação Profissional,E,Não Retida,2019-05-02,1480,1480,0,4,21,2
1731,Em Curso,Acaraú,Dentro do prazo,20192,Subsequente,Técnico,Educação Profissional,Itarema,4928,11202,2020-04-27,2019-10-31,2019-09-23 00:00:00,2019-01-07,2019-01-07,CE,Adulto (20 a 59 anos),Indígena,20 a 24 anos,Seleção Técnico,Subsequente,2019,1,20192,2021/1,Ampla Concorrência,M,Educação Profissional,E,Não Retida,2019-09-23,1480,1480,0,4,21,1
1736,Em Curso,Acaraú,Dentro do prazo,20192,Subsequente,Técnico,Educação Profissional,Acaraú,9884,11205,2020-04-27,2019-10-31,2019-09-24 13:21:00,2019-01-07,2019-01-07,CE,Adulto (20 a 59 anos),Branca,20 a 24 anos,Seleção Técnico,Subsequente,2019,1,20192,2021/1,Ampla Concorrência,M,Educação Profissional,E,Não Retida,2019-09-24,1240,1240,0,4,23,1
1738,Em Curso,Acaraú,Dentro do prazo,20182,Subsequente,Técnico,Educação Profissional,Acaraú,6427,11201,2019-05-22,2018-11-26,2018-11-29 00:00:00,2018-01-07,2018-01-07,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Seleção Técnico,Subsequente,2018,1,20182,2020/1,Ampla Concorrência,F,Educação Profissional,E,Não Retida,2018-11-29,1080,1080,0,4,23,3
1740,Em Curso,Acaraú,Dentro do prazo,20191,Subsequente,Técnico,Educação Profissional,Acaraú,4928,11202,2020-04-27,2019-10-31,2019-05-02 00:00:00,2019-01-01,2019-01-07,CE,Jovem (<= 19 anos),Parda,15 a 19 anos,Seleção Técnico,Subsequente,2019,1,20192,2020/2,"Alunos de Escola Pública, sem comprovação renda",M,Educação Profissional,E,Não Retida,2019-05-02,1480,1480,0,4,19,2
1750,Em Curso,Acaraú,Dentro do prazo,20172,Licenciatura,Graduação,Regular,Acaraú,4017,11400,2018-06-04,2017-11-16,2018-11-19 00:00:00,2017-01-07,2017-01-07,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Sisu,Licenciatura,2017,1,20172,2021/1,Ampla Concorrência,M,Regular,E,Não Retida,2018-11-19,2960,2960,0,8,22,5
1759,Em Curso,Acaraú,Dentro do prazo,20192,Subsequente,Técnico,Educação Profissional,Acaraú,7083,11204,2020-04-27,2019-10-31,2019-09-27 00:00:00,2019-01-07,2019-01-07,CE,Adulto (20 a 59 anos),Parda,25 a 29 anos,Seleção Técnico,Subsequente,2019,1,20192,2020/1,Ampla Concorrência,F,Educação Profissional,E,Não Retida,2019-09-27,800,800,0,2,28,1
1761,Em Curso,Acaraú,Dentro do prazo,20192,Fic,Básico,Regular,Acaraú,7275,111022,2020-04-08,2019-11-04,2019-10-31 00:00:00,2019-01-07,2019-01-07,CE,Adulto (20 a 59 anos),Branca,35 a 39 anos,Seleção Extensão,Fic,2019,1,20192,2020/1,Não possui,M,Regular,E,Não Retida,2019-10-31,160,160,0,2,37,1
