,Num Seq deste Período Letivo,Periodos Cursados,Data Última Alteração Matrícula,Nível de Ensino,Previsão de Término (Letivo),Tipo_Escola_Origem,Fluxo Escolar - Label,Dt Ref Início Matrícula,Idade (Hoje),Matrícula retida?,Cód. da Matriz,Etnia,Periodo Letivo (Num),Última Alteração de Situação,CH. Disc. Obrigatórias,Dt Ref Início Período Letivo,Forma de Oferta (grupo),Ingressantes em  (Ano Letivo),Modalidade do Curso,Estado Aluno,Cód. do Curso,Data Início Período,Forma de Ingresso,Faixa Etária,Sexo,Data Final Período,Ingressantes em (Período Letivo),Duracao curso,CH. Disc. Optativas,Tipo de Modalidade,Tipo de Modalidade (grupo),Estrutura Etária,CH,Campus (Nome),É matrícula retida neste período letivo?,Cidade Aluno
38,7,6,2019-06-14 13:03:00,Técnico,2017/1,E,Evadidos,2016-01-07 00:00:00,22,Fora do prazo,7083,Branca,20191,2019-06-14 00:00:00,800,2019-01-01 00:00:00,Subsequente,2016,Subsequente,CE,11204,2019-05-22 00:00:00,Seleção Técnico,20 a 24 anos,F,2019-10-31 00:00:00,20162,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Retida,Acaraú
40,1,2,2017-05-12 15:41:00,Técnico,2016/2,E,Evadidos,2016-01-01 00:00:00,22,Dentro do prazo,5929,Parda,20162,2017-05-12 00:00:00,800,2016-01-07 00:00:00,Subsequente,2016,Subsequente,CE,11203,2016-11-16 00:00:00,Seleção Técnico,20 a 24 anos,F,2017-05-15 00:00:00,20161,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Acaraú
42,5,5,2019-06-14 13:04:00,Graduação,2020/2,P,Evadidos,2017-01-01 00:00:00,27,Dentro do prazo,4017,Parda,20191,2019-06-14 00:00:00,2960,2019-01-01 00:00:00,Licenciatura,2017,Licenciatura,CE,11400,2019-05-22 00:00:00,Sisu,25 a 29 anos,F,2019-10-31 00:00:00,20171,8,0,Regular,Regular,Adulto (20 a 59 anos),2960,Acaraú,Não Retida,Cruz
45,1,1,2016-04-05 18:39:00,Básico,2015/1,F,Evadidos,2015-01-01 00:00:00,34,Dentro do prazo,6362,Não dispõe da informação,20151,2016-04-05 00:00:00,60,2015-01-01 00:00:00,Fic,2015,Fic,CE,111020,2015-05-27 00:00:00,Seleção Extensão,30 a 34 anos,F,2016-02-03 00:00:00,20151,1,0,Regular,Regular,Adulto (20 a 59 anos),60,Acaraú,Não Retida,Acaraú
47,3,3,2016-12-01 14:01:00,Graduação,2018/2,E,Evadidos,2015-01-01 00:00:00,23,Dentro do prazo,4017,Parda,20161,2016-12-01 00:00:00,2960,2016-01-01 00:00:00,Licenciatura,2015,Licenciatura,CE,11400,2016-06-22 00:00:00,Sisu,20 a 24 anos,M,2016-11-16 00:00:00,20151,8,0,Regular,Regular,Adulto (20 a 59 anos),2960,Acaraú,Não Retida,Itarema
54,1,3,2018-05-24 13:13:00,Graduação,2020/2,E,Evadidos,2017-01-01 00:00:00,21,Dentro do prazo,4017,Parda,20171,2018-05-24 00:00:00,2960,2017-01-01 00:00:00,Licenciatura,2017,Licenciatura,CE,11400,2017-05-15 00:00:00,Sisu,20 a 24 anos,M,2017-11-16 00:00:00,20171,8,0,Regular,Regular,Adulto (20 a 59 anos),2960,Acaraú,Não Retida,Acaraú
57,1,1,2016-04-05 19:20:00,Básico,2015/1,E,Evadidos,2015-01-01 00:00:00,41,Dentro do prazo,6352,Não dispõe da informação,20151,2016-04-05 00:00:00,60,2015-01-01 00:00:00,Fic,2015,Fic,CE,111019,2015-05-27 00:00:00,Seleção Extensão,40 a 44 anos,F,2016-02-03 00:00:00,20151,1,0,Regular,Regular,Adulto (20 a 59 anos),60,Acaraú,Não Retida,Acaraú
66,1,6,2019-12-04 12:24:00,Graduação,2020/2,E,Evadidos,2017-01-01 00:00:00,22,Dentro do prazo,4017,Parda,20171,2019-12-04 00:00:00,2960,2017-01-01 00:00:00,Licenciatura,2017,Licenciatura,CE,11400,2017-05-15 00:00:00,Sisu,20 a 24 anos,M,2017-11-16 00:00:00,20171,8,0,Regular,Regular,Adulto (20 a 59 anos),2960,Acaraú,Não Retida,Bela Cruz
67,1,1,2018-11-19 00:00:00,Básico,2019/1,E,Evadidos,2018-01-07 00:00:00,26,Dentro do prazo,7274,Branca,20182,2018-11-19 00:00:00,160,2018-01-07 00:00:00,Fic,2018,Fic,CE,111021,2018-11-26 00:00:00,Seleção Extensão,25 a 29 anos,M,2019-05-22 00:00:00,20182,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Itarema
70,1,2,2017-12-29 10:07:00,Técnico,2018/2,E,Evadidos,2017-01-01 00:00:00,22,Dentro do prazo,4928,Parda,20171,2017-12-29 00:00:00,1480,2017-01-01 00:00:00,Subsequente,2017,Subsequente,CE,11202,2017-05-15 00:00:00,Seleção Técnico,20 a 24 anos,F,2017-11-16 00:00:00,20171,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1480,Acaraú,Não Retida,Acaraú
74,1,2,2018-12-27 13:40:00,Graduação,2021/2,E,Evadidos,2018-01-01 00:00:00,20,Dentro do prazo,7334,Branca,20181,2018-12-27 00:00:00,3200,2018-01-01 00:00:00,Licenciatura,2018,Licenciatura,CE,11401,2018-06-04 00:00:00,Sisu,20 a 24 anos,M,2018-11-26 00:00:00,20181,8,0,Regular,Regular,Adulto (20 a 59 anos),3200,Acaraú,Não Retida,Bela Cruz
75,5,4,2019-03-08 20:48:00,Pós-graduação,2016/1,E,Evadidos,2016-01-01 00:00:00,32,Fora do prazo,6991,Não dispõe da informação,20181,2019-03-08 00:00:00,360,2018-01-01 00:00:00,Especialização,2016,Especialização,CE,11700,2018-08-24 00:00:00,Seleção Pós-graduação,30 a 34 anos,F,2019-09-14 00:00:00,20161,1,0,Regular,Regular,Adulto (20 a 59 anos),360,Acaraú,Retida,Acaraú
77,1,2,2019-06-14 13:04:00,Técnico,2020/1,E,Evadidos,2018-01-07 00:00:00,37,Dentro do prazo,9884,Parda,20182,2019-06-14 00:00:00,1240,2018-01-07 00:00:00,Subsequente,2018,Subsequente,CE,11205,2018-11-26 00:00:00,Seleção Técnico,35 a 39 anos,F,2019-05-22 00:00:00,20182,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1240,Acaraú,Não Retida,Acaraú
80,1,2,2018-12-27 13:40:00,Técnico,2019/2,E,Evadidos,2018-01-01 00:00:00,28,Dentro do prazo,5158,Indígena,20182,2018-12-27 00:00:00,1240,2018-01-07 00:00:00,Subsequente,2018,Subsequente,CE,11200,2018-11-26 00:00:00,Seleção Técnico,25 a 29 anos,M,2019-05-22 00:00:00,20181,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1240,Acaraú,Não Retida,Itarema
81,3,2,2017-06-22 15:24:00,Básico,2017/1,E,Evadidos,2016-01-07 00:00:00,28,Fora do prazo,7274,Parda,20171,2017-06-22 00:00:00,160,2017-01-01 00:00:00,Fic,2016,Fic,CE,111021,2017-05-22 00:00:00,Seleção Extensão,25 a 29 anos,F,2017-11-16 00:00:00,20162,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Retida,Acaraú
82,3,2,2017-08-09 14:40:00,Básico,2017/1,E,Evadidos,2016-01-07 00:00:00,26,Fora do prazo,7275,Parda,20171,2017-08-09 00:00:00,160,2017-01-01 00:00:00,Fic,2016,Fic,CE,111022,2017-05-22 00:00:00,Seleção Extensão,25 a 29 anos,F,2017-11-16 00:00:00,20162,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Retida,Jijoca de Jericoacoara
95,3,2,2019-06-14 13:04:00,Graduação,2022/1,F,Evadidos,2018-01-07 00:00:00,26,Dentro do prazo,4017,Branca,20191,2019-06-14 00:00:00,2960,2019-01-01 00:00:00,Licenciatura,2018,Licenciatura,CE,11400,2019-05-22 00:00:00,Diplomado,25 a 29 anos,M,2019-10-31 00:00:00,20182,8,0,Regular,Regular,Adulto (20 a 59 anos),2960,Acaraú,Não Retida,Acaraú
97,1,3,2018-12-27 13:40:00,Técnico,2018/1,E,Evadidos,2017-01-07 00:00:00,25,Fora do prazo,7083,Parda,20172,2018-12-27 00:00:00,800,2017-01-07 00:00:00,Subsequente,2017,Subsequente,CE,11204,2017-11-16 00:00:00,Seleção Técnico,25 a 29 anos,F,2018-06-04 00:00:00,20172,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Itarema
99,1,2,2017-05-12 15:16:00,Técnico,2017/2,E,Evadidos,2016-01-01 00:00:00,22,Dentro do prazo,5158,Parda,20161,2017-05-12 00:00:00,1240,2016-01-01 00:00:00,Subsequente,2016,Subsequente,CE,11200,2016-06-22 00:00:00,Seleção Técnico,20 a 24 anos,F,2016-11-16 00:00:00,20161,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1240,Acaraú,Não Retida,Acaraú
111,1,2,2017-12-29 10:07:00,Graduação,2020/2,E,Evadidos,2017-01-01 00:00:00,21,Dentro do prazo,7334,Parda,20171,2017-12-29 00:00:00,3200,2017-01-01 00:00:00,Licenciatura,2017,Licenciatura,CE,11401,2017-05-15 00:00:00,Sisu,20 a 24 anos,F,2017-11-16 00:00:00,20171,8,0,Regular,Regular,Adulto (20 a 59 anos),3200,Acaraú,Não Retida,Acaraú
113,1,2,2018-12-07 10:27:00,Técnico,2019/1,E,Evadidos,2017-01-07 00:00:00,21,Dentro do prazo,6427,Parda,20172,2018-12-07 00:00:00,1080,2017-01-07 00:00:00,Subsequente,2017,Subsequente,CE,11201,2017-11-16 00:00:00,Seleção Técnico,20 a 24 anos,M,2018-06-04 00:00:00,20172,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1080,Acaraú,Não Retida,Bela Cruz
115,1,2,2019-06-14 13:04:00,Técnico,2019/1,E,Evadidos,2018-01-07 00:00:00,20,Fora do prazo,5929,Parda,20182,2019-06-14 00:00:00,800,2018-01-07 00:00:00,Subsequente,2018,Subsequente,CE,11203,2018-11-26 00:00:00,Seleção Técnico,20 a 24 anos,F,2019-05-22 00:00:00,20182,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Acaraú
118,1,2,2019-06-14 13:04:00,Técnico,2020/1,E,Evadidos,2018-01-07 00:00:00,21,Dentro do prazo,4928,Branca,20182,2019-06-14 00:00:00,1480,2018-01-07 00:00:00,Subsequente,2018,Subsequente,CE,11202,2018-11-26 00:00:00,Seleção Técnico,20 a 24 anos,F,2019-05-22 00:00:00,20182,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1480,Acaraú,Não Retida,Acaraú
121,1,1,2019-02-25 11:12:00,Graduação,2022/1,E,Evadidos,2018-01-07 00:00:00,20,Dentro do prazo,12166,Parda,20182,2019-02-25 00:00:00,3200,2018-01-07 00:00:00,Licenciatura,2018,Licenciatura,CE,11401,2018-11-26 00:00:00,Sisu,20 a 24 anos,M,2019-05-22 00:00:00,20182,8,240,Regular,Regular,Adulto (20 a 59 anos),3440,Acaraú,Não Retida,Bela Cruz
124,3,2,2017-06-22 15:24:00,Básico,2017/1,E,Evadidos,2016-01-07 00:00:00,28,Fora do prazo,7274,Parda,20171,2017-06-22 00:00:00,160,2017-01-01 00:00:00,Fic,2016,Fic,CE,111021,2017-05-22 00:00:00,Seleção Extensão,25 a 29 anos,F,2017-11-16 00:00:00,20162,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Retida,Marco
125,1,1,2017-01-13 10:28:00,Básico,2016/2,E,Evadidos,2016-01-01 00:00:00,31,Dentro do prazo,7276,Não dispõe da informação,20161,2017-01-13 00:00:00,160,2016-01-01 00:00:00,Fic,2016,Fic,CE,111023,2016-07-11 00:00:00,Seleção Extensão,30 a 34 anos,F,2016-11-23 00:00:00,20161,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Acaraú
131,1,3,2018-12-27 13:40:00,Técnico,2018/1,E,Evadidos,2017-01-07 00:00:00,24,Fora do prazo,5929,Parda,20172,2018-12-27 00:00:00,800,2017-01-07 00:00:00,Subsequente,2017,Subsequente,CE,11203,2017-11-16 00:00:00,Seleção Técnico,20 a 24 anos,F,2018-06-04 00:00:00,20172,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Acaraú
134,1,2,2018-12-27 13:40:00,Técnico,2019/2,E,Evadidos,2018-01-01 00:00:00,23,Dentro do prazo,5158,Branca,20181,2018-12-27 00:00:00,1240,2018-01-01 00:00:00,Subsequente,2018,Subsequente,CE,11200,2018-06-04 00:00:00,Seleção Técnico,20 a 24 anos,M,2018-11-26 00:00:00,20181,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1240,Acaraú,Não Retida,Acaraú
138,1,1,2019-11-07 17:24:00,Graduação,2023/1,E,Evadidos,2019-01-07 00:00:00,21,Dentro do prazo,4017,Parda,20192,2019-11-07 00:00:00,2960,2019-01-07 00:00:00,Licenciatura,2019,Licenciatura,CE,11400,2019-10-31 00:00:00,Sisu,20 a 24 anos,M,2020-04-27 00:00:00,20192,8,0,Regular,Regular,Adulto (20 a 59 anos),2960,Acaraú,Não Retida,Marco
142,1,2,2019-12-04 12:24:00,Técnico,2020/2,E,Evadidos,2019-01-01 00:00:00,20,Dentro do prazo,4928,Parda,20192,2019-12-04 00:00:00,1480,2019-01-07 00:00:00,Subsequente,2019,Subsequente,CE,11202,2019-10-31 00:00:00,Seleção Técnico,20 a 24 anos,M,2020-04-27 00:00:00,20191,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1480,Acaraú,Não Retida,Acaraú
143,1,1,2016-04-05 18:42:00,Básico,2015/1,E,Evadidos,2015-01-01 00:00:00,33,Dentro do prazo,6342,Parda,20151,2016-04-05 00:00:00,60,2015-01-01 00:00:00,Fic,2015,Fic,CE,111018,2015-05-27 00:00:00,Seleção Extensão,30 a 34 anos,M,2016-02-03 00:00:00,20151,1,0,Regular,Regular,Adulto (20 a 59 anos),60,Acaraú,Não Retida,Acaraú
148,3,3,2018-12-07 10:27:00,Técnico,2018/2,E,Evadidos,2017-01-01 00:00:00,22,Dentro do prazo,4928,Branca,20181,2018-12-07 00:00:00,1480,2018-01-01 00:00:00,Subsequente,2017,Subsequente,CE,11202,2018-06-04 00:00:00,Seleção Técnico,20 a 24 anos,F,2018-11-26 00:00:00,20171,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1480,Acaraú,Não Retida,Jijoca de Jericoacoara
150,1,2,2017-08-15 16:21:00,Pós-graduação,2016/1,E,Evadidos,2016-01-01 00:00:00,56,Dentro do prazo,6991,Parda,20162,2017-08-15 00:00:00,360,2016-01-07 00:00:00,Especialização,2016,Especialização,CE,11700,2017-03-17 00:00:00,Seleção Pós-graduação,55 a 59 anos,M,2018-08-24 00:00:00,20161,1,0,Regular,Regular,Adulto (20 a 59 anos),360,Acaraú,Não Retida,Acaraú
153,1,1,2018-06-12 13:28:00,Técnico,2019/2,E,Evadidos,2018-01-01 00:00:00,31,Dentro do prazo,9894,Parda,20181,2018-06-12 00:00:00,1320,2018-01-01 00:00:00,Subsequente,2018,Subsequente,CE,11205,2018-06-04 00:00:00,Seleção Técnico,30 a 34 anos,F,2018-11-26 00:00:00,20181,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1320,Acaraú,Não Retida,Acaraú
154,5,5,2017-06-22 14:31:00,Graduação,2018/2,E,Evadidos,2015-01-01 00:00:00,23,Dentro do prazo,4017,Não dispõe da informação,20171,2017-06-22 00:00:00,2960,2017-01-01 00:00:00,Licenciatura,2015,Licenciatura,CE,11400,2017-05-15 00:00:00,Sisu,20 a 24 anos,F,2017-11-16 00:00:00,20151,8,0,Regular,Regular,Adulto (20 a 59 anos),2960,Acaraú,Não Retida,Acaraú
155,1,2,2017-12-29 11:07:00,Técnico,2017/2,M,Evadidos,2017-01-01 00:00:00,23,Dentro do prazo,5929,Parda,20172,2017-12-29 00:00:00,800,2017-01-07 00:00:00,Subsequente,2017,Subsequente,CE,11203,2017-11-16 00:00:00,Seleção Técnico,20 a 24 anos,F,2018-06-04 00:00:00,20171,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Acaraú
159,5,5,2018-12-27 13:40:00,Técnico,2018/1,E,Evadidos,2016-01-07 00:00:00,25,Fora do prazo,6427,Parda,20182,2018-12-27 00:00:00,1080,2018-01-07 00:00:00,Subsequente,2016,Subsequente,CE,11201,2018-11-26 00:00:00,Seleção Técnico,25 a 29 anos,M,2019-05-22 00:00:00,20162,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1080,Acaraú,Retida,Itarema
160,3,3,2016-12-01 14:25:00,Técnico,2015/2,E,Evadidos,2015-01-01 00:00:00,24,Fora do prazo,5929,Não dispõe da informação,20161,2016-12-01 00:00:00,800,2016-01-01 00:00:00,Subsequente,2015,Subsequente,CE,11203,2016-06-22 00:00:00,Seleção Técnico,20 a 24 anos,F,2016-11-16 00:00:00,20151,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Retida,Acaraú
161,1,2,2017-05-12 15:26:00,Técnico,2016/2,E,Evadidos,2016-01-01 00:00:00,23,Dentro do prazo,7083,Parda,20162,2017-05-12 00:00:00,800,2016-01-07 00:00:00,Subsequente,2016,Subsequente,CE,11204,2016-11-16 00:00:00,Seleção Técnico,20 a 24 anos,F,2017-05-15 00:00:00,20161,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Acaraú
163,1,1,2016-04-05 18:26:00,Básico,2015/1,E,Evadidos,2015-01-01 00:00:00,24,Dentro do prazo,6352,Não dispõe da informação,20151,2016-04-05 00:00:00,60,2015-01-01 00:00:00,Fic,2015,Fic,CE,111019,2015-05-27 00:00:00,Seleção Extensão,20 a 24 anos,F,2016-02-03 00:00:00,20151,1,0,Regular,Regular,Adulto (20 a 59 anos),60,Acaraú,Não Retida,Acaraú
167,1,2,2018-12-27 13:40:00,Técnico,2019/2,E,Evadidos,2018-01-01 00:00:00,24,Dentro do prazo,5158,Parda,20181,2018-12-27 00:00:00,1240,2018-01-01 00:00:00,Subsequente,2018,Subsequente,CE,11200,2018-06-04 00:00:00,Seleção Técnico,20 a 24 anos,M,2018-11-26 00:00:00,20181,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1240,Acaraú,Não Retida,Acaraú
169,5,5,2019-06-14 13:04:00,Básico,2017/2,E,Evadidos,2017-01-01 00:00:00,35,Fora do prazo,7275,Parda,20191,2019-06-14 00:00:00,160,2019-01-01 00:00:00,Fic,2017,Fic,CE,111022,2019-05-22 00:00:00,Seleção Extensão,35 a 39 anos,M,2019-11-04 00:00:00,20171,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Retida,Acaraú
171,3,2,2017-06-22 15:24:00,Técnico,2018/1,E,Evadidos,2016-01-07 00:00:00,30,Dentro do prazo,6427,Parda,20171,2017-06-22 00:00:00,1080,2017-01-01 00:00:00,Subsequente,2016,Subsequente,CE,11201,2017-05-15 00:00:00,Seleção Técnico,30 a 34 anos,F,2017-11-16 00:00:00,20162,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1080,Acaraú,Não Retida,Acaraú
174,1,2,2017-05-12 15:17:00,Técnico,2017/2,E,Evadidos,2016-01-01 00:00:00,25,Dentro do prazo,4928,Parda,20162,2017-05-12 00:00:00,1480,2016-01-07 00:00:00,Subsequente,2016,Subsequente,CE,11202,2016-11-16 00:00:00,Seleção Técnico,25 a 29 anos,M,2017-05-15 00:00:00,20161,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1480,Acaraú,Não Retida,Acaraú
175,1,8,2019-12-04 12:29:00,Técnico,2017/2,E,Evadidos,2016-01-01 00:00:00,31,Fora do prazo,6427,Branca,20161,2019-12-04 00:00:00,1080,2016-01-01 00:00:00,Subsequente,2016,Subsequente,CE,11201,2016-06-22 00:00:00,Seleção Técnico,30 a 34 anos,F,2016-11-16 00:00:00,20161,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1080,Acaraú,Não Retida,Acaraú
181,1,2,2017-05-12 15:20:00,Técnico,2017/2,E,Evadidos,2016-01-01 00:00:00,23,Dentro do prazo,4928,Parda,20162,2017-05-12 00:00:00,1480,2016-01-07 00:00:00,Subsequente,2016,Subsequente,CE,11202,2016-11-16 00:00:00,Seleção Técnico,20 a 24 anos,M,2017-05-15 00:00:00,20161,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1480,Acaraú,Não Retida,Acaraú
182,3,2,2017-06-22 15:24:00,Técnico,2017/1,E,Evadidos,2016-01-07 00:00:00,23,Fora do prazo,5929,Branca,20171,2017-06-22 00:00:00,800,2017-01-01 00:00:00,Subsequente,2016,Subsequente,CE,11203,2017-05-15 00:00:00,Seleção Técnico,20 a 24 anos,M,2017-11-16 00:00:00,20162,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Retida,Itarema
183,9,10,2019-12-04 12:29:00,Técnico,2016/2,E,Evadidos,2015-01-01 00:00:00,24,Fora do prazo,4928,Parda,20192,2019-12-04 00:00:00,1480,2019-01-07 00:00:00,Subsequente,2015,Subsequente,CE,11202,2019-10-31 00:00:00,Seleção Técnico,20 a 24 anos,M,2020-04-27 00:00:00,20151,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1480,Acaraú,Retida,Bela Cruz
196,3,4,2016-11-29 14:05:00,Graduação,2018/2,E,Evadidos,2015-01-01 00:00:00,23,Dentro do prazo,4017,Branca,20162,2016-11-29 00:00:00,2960,2016-01-07 00:00:00,Licenciatura,2015,Licenciatura,CE,11400,2016-11-16 00:00:00,Sisu,20 a 24 anos,F,2017-05-15 00:00:00,20151,8,0,Regular,Regular,Adulto (20 a 59 anos),2960,Acaraú,Não Retida,Acaraú
200,3,3,2016-12-01 14:25:00,Técnico,2015/2,E,Evadidos,2015-01-01 00:00:00,26,Fora do prazo,5929,Não dispõe da informação,20161,2016-12-01 00:00:00,800,2016-01-01 00:00:00,Subsequente,2015,Subsequente,CE,11203,2016-06-22 00:00:00,Seleção Técnico,25 a 29 anos,F,2016-11-16 00:00:00,20151,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Retida,Acaraú
202,3,3,2017-06-22 15:24:00,Técnico,2017/2,E,Evadidos,2016-01-01 00:00:00,23,Dentro do prazo,4928,Parda,20171,2017-06-22 00:00:00,1480,2017-01-01 00:00:00,Subsequente,2016,Subsequente,CE,11202,2017-05-15 00:00:00,Seleção Técnico,20 a 24 anos,M,2017-11-16 00:00:00,20161,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1480,Acaraú,Não Retida,Acaraú
206,1,2,2017-05-12 15:13:00,Técnico,2017/2,E,Evadidos,2016-01-01 00:00:00,25,Dentro do prazo,5158,Preta,20162,2017-05-12 00:00:00,1240,2016-01-07 00:00:00,Subsequente,2016,Subsequente,CE,11200,2016-11-16 00:00:00,Seleção Técnico,25 a 29 anos,F,2017-05-15 00:00:00,20161,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1240,Acaraú,Não Retida,Itarema
207,3,3,2017-05-12 15:39:00,Técnico,2016/1,E,Evadidos,2015-01-07 00:00:00,23,Fora do prazo,5929,Parda,20162,2017-05-12 00:00:00,800,2016-01-07 00:00:00,Subsequente,2015,Subsequente,CE,11203,2016-11-16 00:00:00,Seleção Técnico,20 a 24 anos,F,2017-05-15 00:00:00,20152,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Retida,Bela Cruz
209,1,2,2017-05-12 15:34:00,Técnico,2017/2,E,Evadidos,2016-01-01 00:00:00,23,Dentro do prazo,6427,Parda,20162,2017-05-12 00:00:00,1080,2016-01-07 00:00:00,Subsequente,2016,Subsequente,CE,11201,2016-11-16 00:00:00,Seleção Técnico,20 a 24 anos,F,2017-05-15 00:00:00,20161,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1080,Acaraú,Não Retida,Acaraú
219,5,4,2019-06-14 13:04:00,Técnico,2019/1,F,Evadidos,2017-01-07 00:00:00,26,Fora do prazo,9884,Parda,20191,2019-06-14 00:00:00,1240,2019-01-01 00:00:00,Subsequente,2017,Subsequente,CE,11205,2019-05-22 00:00:00,Seleção Técnico,25 a 29 anos,F,2019-10-31 00:00:00,20172,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1240,Acaraú,Retida,Acaraú
220,1,1,2017-05-25 14:11:00,Graduação,2020/2,E,Evadidos,2017-01-01 00:00:00,21,Dentro do prazo,4017,Parda,20171,2017-05-25 00:00:00,2960,2017-01-01 00:00:00,Licenciatura,2017,Licenciatura,CE,11400,2017-05-15 00:00:00,Sisu,20 a 24 anos,M,2017-11-16 00:00:00,20171,8,0,Regular,Regular,Adulto (20 a 59 anos),2960,Acaraú,Não Retida,Cruz
224,1,3,2018-06-19 16:47:00,Básico,2017/2,E,Evadidos,2017-01-01 00:00:00,21,Fora do prazo,7276,Não dispõe da informação,20171,2018-06-19 00:00:00,160,2017-01-01 00:00:00,Fic,2017,Fic,CE,111023,2017-05-22 00:00:00,Seleção Extensão,20 a 24 anos,F,2017-11-16 00:00:00,20171,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Não Retida,Acaraú
228,3,2,2018-11-08 17:10:00,Graduação,2021/1,E,Evadidos,2017-01-07 00:00:00,22,Dentro do prazo,4017,Parda,20181,2018-11-08 00:00:00,2960,2018-01-01 00:00:00,Licenciatura,2017,Licenciatura,CE,11400,2018-06-04 00:00:00,Sisu,20 a 24 anos,M,2018-11-26 00:00:00,20172,8,0,Regular,Regular,Adulto (20 a 59 anos),2960,Acaraú,Não Retida,Acaraú
230,1,2,2017-12-29 10:07:00,Técnico,2018/2,E,Evadidos,2017-01-01 00:00:00,22,Dentro do prazo,5158,Parda,20171,2017-12-29 00:00:00,1240,2017-01-01 00:00:00,Subsequente,2017,Subsequente,CE,11200,2017-05-15 00:00:00,Seleção Técnico,20 a 24 anos,M,2017-11-16 00:00:00,20171,4,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),1240,Acaraú,Não Retida,Itarema
231,1,1,2016-12-07 15:06:00,Graduação,2020/1,E,Evadidos,2016-01-07 00:00:00,27,Dentro do prazo,4017,Parda,20162,2016-12-07 00:00:00,2960,2016-01-07 00:00:00,Licenciatura,2016,Licenciatura,CE,11400,2016-11-16 00:00:00,Sisu,25 a 29 anos,M,2017-05-15 00:00:00,20162,8,0,Regular,Regular,Adulto (20 a 59 anos),2960,Acaraú,Não Retida,Itarema
235,1,2,2018-12-27 13:40:00,Técnico,2018/2,E,Evadidos,2018-01-01 00:00:00,20,Dentro do prazo,7083,Branca,20181,2018-12-27 00:00:00,800,2018-01-01 00:00:00,Subsequente,2018,Subsequente,CE,11204,2018-06-04 00:00:00,Seleção Técnico,20 a 24 anos,M,2018-11-26 00:00:00,20181,2,0,Educação Profissional,Educação Profissional,Adulto (20 a 59 anos),800,Acaraú,Não Retida,Itarema
236,3,3,2018-06-19 16:30:00,Básico,2017/2,E,Evadidos,2017-01-01 00:00:00,35,Fora do prazo,7274,Preta,20181,2018-06-19 00:00:00,160,2018-01-01 00:00:00,Fic,2017,Fic,CE,111021,2018-06-12 00:00:00,Seleção Extensão,35 a 39 anos,M,2018-11-26 00:00:00,20171,2,0,Regular,Regular,Adulto (20 a 59 anos),160,Acaraú,Retida,Acaraú
